Date,ACWI IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,254.826
1994-06-30,256.294
1994-07-29,260.803
1994-08-31,268.12
1994-09-30,261.219
1994-10-31,267.191
1994-11-30,254.491
1994-12-30,256.597
1995-01-31,252.042
1995-02-28,253.784
1995-03-31,265.241
1995-04-28,273.571
1995-05-31,276.258
1995-06-30,275.161
1995-07-31,287.463
1995-08-31,282.56
1995-09-29,289.038
1995-10-31,283.432
1995-11-30,291.705
1995-12-29,302.045
1996-01-31,308.291
1996-02-29,309.832
1996-03-29,314.1
1996-04-30,322.335
1996-05-31,321.978
1996-06-28,323.399
1996-07-31,312.768
1996-08-30,316.109
1996-09-30,324.946
1996-10-31,327.406
1996-11-29,343.379
1996-12-31,341.093
1997-01-31,343.311
1997-02-28,349.111
1997-03-31,342.355
1997-04-30,347.403
1997-05-30,369.628
1997-06-30,385.573
1997-07-31,398.425
1997-08-29,377.546
1997-09-30,394.918
1997-10-31,375.383
1997-11-28,376.236
1997-12-31,381.212
1998-01-30,385.424
1998-02-27,410.953
1998-03-31,429.967
1998-04-30,431.655
1998-05-29,424.389
1998-06-30,422.853
1998-07-31,416.863
1998-08-31,358.097
1998-09-30,364.909
1998-10-30,395.246
1998-11-30,412.717
1998-12-31,421.566
1999-01-29,419.088
1999-02-26,411.65
1999-03-31,427.648
1999-04-30,463.102
1999-05-31,450.383
1999-06-30,465.209
1999-07-30,463.822
1999-08-31,457.642
1999-09-30,449.564
1999-10-29,462.538
1999-11-30,462.303
1999-12-31,476.044
2000-01-31,453.165
2000-02-29,436.426
2000-03-31,469.79
2000-04-28,456.816
2000-05-31,458.453
2000-06-30,464.181
2000-07-31,457.422
2000-08-31,473.837
2000-09-29,466.835
2000-10-31,466.746
2000-11-30,452.624
2000-12-29,475.385
2001-01-31,483.026
2001-02-28,465.342
2001-03-30,443.326
2001-04-30,466.953
2001-05-31,470.754
2001-06-29,461.877
2001-07-31,456.526
2001-08-31,448.677
2001-09-28,408.549
2001-10-31,411.615
2001-11-30,429.57
2001-12-31,437.361
2002-01-31,430.793
2002-02-28,434.555
2002-03-29,458.113
2002-04-30,457.204
2002-05-31,463.594
2002-06-28,438.177
2002-07-31,401.733
2002-08-30,405.277
2002-09-30,361.757
2002-10-31,381.213
2002-11-29,401.563
2002-12-31,388.337
2003-01-31,377.249
2003-02-28,369.596
2003-03-31,366.097
2003-04-30,400.388
2003-05-30,427.158
2003-06-30,436.604
2003-07-31,445.063
2003-08-29,455.822
2003-09-30,459.869
2003-10-31,487.275
2003-11-28,495.743
2003-12-31,532.813
2004-01-30,541.324
2004-02-27,554.383
2004-03-31,555.332
2004-04-30,540.82
2004-05-31,545.313
2004-06-30,561.289
2004-07-30,551.075
2004-08-31,557.968
2004-09-30,570.693
2004-10-29,584.399
2004-11-30,618.99
2004-12-31,642.092
2005-01-31,631.275
2005-02-28,657.822
2005-03-31,643.761
2005-04-29,630.056
2005-05-31,639.149
2005-06-30,650.233
2005-07-29,672.181
2005-08-31,676.494
2005-09-30,697.462
2005-10-31,677.32
2005-11-30,700.874
2005-12-30,718.696
2006-01-31,754.91
2006-02-28,760.048
2006-03-31,776.357
2006-04-28,805.984
2006-05-31,779.732
2006-06-30,780.767
2006-07-31,794.276
2006-08-31,813.099
2006-09-29,823.226
2006-10-31,855.711
2006-11-30,881.524
2006-12-29,907.884
2007-01-31,914.622
2007-02-28,912.13
2007-03-30,930.22
2007-04-30,970.134
2007-05-31,1000.0
2007-06-29,993.211
2007-07-31,967.23
2007-08-31,961.005
2007-09-28,1003.302
2007-10-31,1034.577
2007-11-30,981.424
2007-12-31,966.416
2008-01-31,898.509
2008-02-29,889.658
2008-03-31,879.585
2008-04-30,926.169
2008-05-30,930.054
2008-06-30,841.317
2008-07-31,826.774
2008-08-29,814.74
2008-09-30,726.802
2008-10-31,583.218
2008-11-28,550.787
2008-12-31,571.821
2009-01-30,510.991
2009-02-27,451.45
2009-03-31,491.834
2009-04-30,564.789
2009-05-29,624.747
2009-06-30,619.466
2009-07-31,678.666
2009-08-31,716.128
2009-09-30,747.412
2009-10-30,729.062
2009-11-30,756.654
2009-12-31,770.165
2010-01-29,743.308
2010-02-26,750.183
2010-03-31,799.96
2010-04-30,804.357
2010-05-31,728.144
2010-06-30,703.948
2010-07-30,763.103
2010-08-31,734.844
2010-09-30,799.651
2010-10-29,825.623
2010-11-30,801.864
2010-12-31,867.172
2011-01-31,888.113
2011-02-28,917.476
2011-03-31,914.736
2011-04-29,950.436
2011-05-31,927.221
2011-06-30,912.453
2011-07-29,889.033
2011-08-31,821.358
2011-09-30,748.34
2011-10-31,824.427
2011-11-30,797.978
2011-12-30,803.422
2012-01-31,849.019
2012-02-29,890.026
2012-03-30,892.996
2012-04-30,878.121
2012-05-31,800.415
2012-06-29,846.38
2012-07-31,854.571
2012-08-31,872.434
2012-09-28,903.64
2012-10-31,904.256
2012-11-30,909.525
2012-12-31,939.502
2013-01-31,990.764
2013-02-28,988.209
2013-03-29,1005.947
2013-04-30,1039.328
2013-05-31,1036.923
2013-06-28,1008.106
2013-07-31,1057.946
2013-08-30,1031.942
2013-09-30,1084.472
2013-10-31,1131.249
2013-11-29,1144.845
2013-12-31,1163.196
2014-01-31,1120.12
2014-02-28,1170.44
2014-03-31,1188.169
2014-04-30,1203.853
2014-05-30,1223.018
2014-06-30,1249.965
2014-07-31,1232.865
2014-08-29,1256.716
2014-09-30,1209.504
2014-10-31,1214.0
2014-11-28,1223.292
2014-12-31,1203.859
2015-01-30,1174.084
2015-02-27,1235.65
2015-03-31,1212.915
2015-04-30,1256.229
2015-05-29,1251.956
2015-06-30,1219.121
2015-07-31,1216.253
2015-08-31,1136.651
2015-09-30,1095.485
2015-10-30,1176.765
2015-11-30,1164.52
2015-12-31,1140.658
2016-01-29,1072.931
2016-02-29,1069.743
2016-03-31,1154.055
2016-04-29,1182.539
2016-05-31,1179.418
2016-06-30,1171.375
2016-07-29,1220.199
2016-08-31,1232.921
2016-09-30,1239.162
2016-10-31,1229.808
2016-11-30,1259.774
2016-12-30,1299.872
2017-01-31,1323.267
2017-02-28,1356.653
2017-03-31,1365.66
2017-04-28,1375.783
2017-05-31,1388.801
2017-06-30,1407.476
2017-07-31,1444.543
2017-08-31,1438.866
2017-09-29,1477.096
2017-10-31,1495.316
2017-11-30,1522.998
2017-12-29,1550.258
2018-01-31,1621.051
2018-02-28,1541.14
2018-03-30,1513.068
2018-04-30,1533.676
2018-05-31,1513.878
2018-06-29,1502.324
2018-07-31,1554.197
2018-08-31,1546.139
2018-09-28,1557.384
2018-10-31,1465.093
2018-11-30,1490.464
2018-12-31,1382.096
2019-01-31,1487.863
2019-02-28,1522.288
2019-03-29,1524.195
2019-04-30,1565.796
2019-05-31,1469.719
2019-06-28,1558.994
2019-07-31,1552.838
2019-08-30,1498.963
2019-09-30,1555.988
2019-10-31,1592.701
2019-11-29,1621.133
2019-12-31,1680.259
2020-01-31,1622.655
2020-02-28,1472.264
2020-03-31,1211.857
2020-04-30,1322.971
2020-05-29,1358.271
2020-06-30,1378.493
2020-07-31,1420.216
2020-08-31,1482.649
2020-09-30,1437.786
2020-10-30,1408.577
2020-11-30,1621.236
2020-12-31,1695.578
2021-01-29,1687.247
2021-02-26,1767.937
2021-03-31,1856.135
2021-04-30,1915.814
2021-05-31,1974.085
2021-06-30,1950.408
2021-07-30,1947.693
2021-08-31,1983.684
2021-09-30,1926.79
2021-10-29,2002.374
2021-11-30,1925.311
2021-12-31,2043.486
2022-01-31,2013.432
2022-02-28,1986.282
2022-03-31,2024.709
2022-04-29,1921.348
2022-05-31,1958.505
2022-06-30,1788.068
2022-07-29,1866.973
2022-08-31,1817.457
2022-09-30,1657.536
2022-10-31,1798.015
2022-11-30,1937.925
2022-12-30,1892.404
2023-01-31,1994.2
2023-02-28,1933.919
2023-03-31,1920.738
2023-04-28,1951.652
2023-05-31,1872.49
2023-06-30,1982.336
2023-07-31,2069.44
2023-08-31,2005.297
2023-09-29,1950.552
2023-10-31,1879.754
2023-11-30,2021.342
2023-12-29,2139.71
2024-01-31,2131.978
2024-02-29,2185.15
2024-03-29,2281.373
2024-04-30,2212.784
2024-05-31,2281.87
2024-06-28,2269.314
2024-07-31,2376.418
2024-08-30,2436.278
2024-09-30,2488.685
2024-10-31,2426.862
2024-11-29,2508.029
2024-12-31,2377.589
2025-01-31,2473.668
2025-02-28,2503.325
2025-03-31,2477.403
2025-04-30,2452.699
2025-05-30,2538.166
2025-06-30,2637.788
2025-07-31,2654.284
