Date,WORLD ex USA LARGE VALUE Large Cap
1994-05-31,278.481
1994-06-30,283.014
1994-07-29,285.847
1994-08-31,291.599
1994-09-30,283.064
1994-10-31,293.747
1994-11-30,279.806
1994-12-30,281.452
1995-01-31,269.383
1995-02-28,267.483
1995-03-31,287.39
1995-04-28,296.795
1995-05-31,293.808
1995-06-30,289.252
1995-07-31,306.161
1995-08-31,294.424
1995-09-29,300.573
1995-10-31,294.308
1995-11-30,302.532
1995-12-29,314.608
1996-01-31,315.826
1996-02-29,316.103
1996-03-29,320.549
1996-04-30,331.482
1996-05-31,327.425
1996-06-28,330.007
1996-07-31,322.247
1996-08-30,323.029
1996-09-30,332.909
1996-10-31,330.337
1996-11-29,346.251
1996-12-31,343.079
1997-01-31,332.699
1997-02-28,336.784
1997-03-31,338.728
1997-04-30,341.261
1997-05-30,366.974
1997-06-30,385.709
1997-07-31,393.261
1997-08-29,367.129
1997-09-30,385.663
1997-10-31,361.615
1997-11-28,355.008
1997-12-31,355.632
1998-01-30,372.539
1998-02-27,395.993
1998-03-31,412.236
1998-04-30,416.164
1998-05-29,414.483
1998-06-30,418.384
1998-07-31,417.789
1998-08-31,363.693
1998-09-30,356.209
1998-10-30,391.529
1998-11-30,408.299
1998-12-31,419.108
1999-01-29,417.956
1999-02-26,411.629
1999-03-31,433.932
1999-04-30,463.293
1999-05-31,438.756
1999-06-30,452.781
1999-07-30,466.473
1999-08-31,470.928
1999-09-30,473.394
1999-10-29,486.189
1999-11-30,487.37
1999-12-31,510.165
2000-01-31,467.701
2000-02-29,460.625
2000-03-31,497.915
2000-04-28,479.195
2000-05-31,478.641
2000-06-30,499.022
2000-07-31,479.797
2000-08-31,487.226
2000-09-29,474.427
2000-10-31,473.887
2000-11-30,463.07
2000-12-29,485.188
2001-01-31,487.072
2001-02-28,463.82
2001-03-30,438.133
2001-04-30,465.466
2001-05-31,456.86
2001-06-29,447.442
2001-07-31,439.954
2001-08-31,435.711
2001-09-28,389.994
2001-10-31,394.788
2001-11-30,404.189
2001-12-31,406.46
2002-01-31,390.958
2002-02-28,394.157
2002-03-29,417.61
2002-04-30,425.914
2002-05-31,438.416
2002-06-28,418.352
2002-07-31,377.263
2002-08-30,381.732
2002-09-30,334.558
2002-10-31,352.215
2002-11-29,368.703
2002-12-31,356.725
2003-01-31,343.09
2003-02-28,337.601
2003-03-31,328.25
2003-04-30,359.459
2003-05-30,385.146
2003-06-30,395.142
2003-07-31,405.236
2003-08-29,413.412
2003-09-30,424.387
2003-10-31,452.631
2003-11-28,463.44
2003-12-31,505.828
2004-01-30,506.312
2004-02-27,517.359
2004-03-31,520.966
2004-04-30,511.478
2004-05-31,516.985
2004-06-30,530.916
2004-07-30,519.916
2004-08-31,522.847
2004-09-30,538.62
2004-10-29,559.297
2004-11-30,593.766
2004-12-31,619.276
2005-01-31,605.81
2005-02-28,635.388
2005-03-31,620.622
2005-04-29,603.143
2005-05-31,602.737
2005-06-30,614.937
2005-07-29,635.076
2005-08-31,649.596
2005-09-30,678.879
2005-10-31,659.05
2005-11-30,675.434
2005-12-30,700.307
2006-01-31,738.918
2006-02-28,745.587
2006-03-31,763.866
2006-04-28,800.933
2006-05-31,777.726
2006-06-30,777.157
2006-07-31,789.678
2006-08-31,814.462
2006-09-29,817.59
2006-10-31,853.499
2006-11-30,877.072
2006-12-29,907.725
2007-01-31,908.267
2007-02-28,913.304
2007-03-30,931.694
2007-04-30,977.611
2007-05-31,1000.0
2007-06-29,1000.803
2007-07-31,978.057
2007-08-31,957.752
2007-09-28,1005.398
2007-10-31,1048.599
2007-11-30,1000.259
2007-12-31,979.365
2008-01-31,887.943
2008-02-29,888.842
2008-03-31,879.699
2008-04-30,936.858
2008-05-30,938.069
2008-06-30,852.497
2008-07-31,830.087
2008-08-29,802.604
2008-09-30,697.2
2008-10-31,551.31
2008-11-28,522.232
2008-12-31,545.994
2009-01-30,484.451
2009-02-27,432.38
2009-03-31,463.375
2009-04-30,545.297
2009-05-29,614.318
2009-06-30,606.32
2009-07-31,669.228
2009-08-31,716.07
2009-09-30,741.932
2009-10-30,722.547
2009-11-30,740.526
2009-12-31,748.847
2010-01-29,711.022
2010-02-26,705.747
2010-03-31,750.982
2010-04-30,735.496
2010-05-31,652.056
2010-06-30,635.601
2010-07-30,702.478
2010-08-31,676.85
2010-09-30,736.138
2010-10-29,765.167
2010-11-30,719.215
2010-12-31,777.163
2011-01-31,810.942
2011-02-28,843.386
2011-03-31,819.84
2011-04-29,865.764
2011-05-31,835.54
2011-06-30,827.828
2011-07-29,805.44
2011-08-31,731.86
2011-09-30,670.689
2011-10-31,734.668
2011-11-30,697.325
2011-12-30,694.866
2012-01-31,729.942
2012-02-29,769.954
2012-03-30,759.942
2012-04-30,741.753
2012-05-31,655.774
2012-06-29,710.162
2012-07-31,716.544
2012-08-31,742.49
2012-09-28,767.068
2012-10-31,776.186
2012-11-30,790.313
2012-12-31,818.367
2013-01-31,865.78
2013-02-28,842.869
2013-03-29,842.024
2013-04-30,888.139
2013-05-31,867.04
2013-06-28,831.286
2013-07-31,881.631
2013-08-30,871.613
2013-09-30,936.562
2013-10-31,976.217
2013-11-29,983.007
2013-12-31,996.149
2014-01-31,956.769
2014-02-28,1010.264
2014-03-31,1006.427
2014-04-30,1030.863
2014-05-30,1043.868
2014-06-30,1061.392
2014-07-31,1047.134
2014-08-29,1043.156
2014-09-30,997.643
2014-10-31,974.254
2014-11-28,976.854
2014-12-31,940.15
2015-01-30,924.957
2015-02-27,983.323
2015-03-31,962.861
2015-04-30,1009.731
2015-05-29,995.882
2015-06-30,965.94
2015-07-31,976.437
2015-08-31,903.253
2015-09-30,846.185
2015-10-30,908.485
2015-11-30,886.654
2015-12-31,864.661
2016-01-29,796.964
2016-02-29,783.947
2016-03-31,838.36
2016-04-29,876.719
2016-05-31,863.401
2016-06-30,825.275
2016-07-29,864.731
2016-08-31,879.852
2016-09-30,886.514
2016-10-31,892.43
2016-11-30,892.582
2016-12-30,934.032
2017-01-31,958.337
2017-02-28,961.601
2017-03-31,987.115
2017-04-28,1000.63
2017-05-31,1021.395
2017-06-30,1029.058
2017-07-31,1064.966
2017-08-31,1057.029
2017-09-29,1094.189
2017-10-31,1101.293
2017-11-30,1111.656
2017-12-29,1129.359
2018-01-31,1187.886
2018-02-28,1126.817
2018-03-30,1102.485
2018-04-30,1136.174
2018-05-31,1091.141
2018-06-29,1081.913
2018-07-31,1113.792
2018-08-31,1072.747
2018-09-28,1095.103
2018-10-31,1023.397
2018-11-30,1017.564
2018-12-31,965.2
2019-01-31,1033.111
2019-02-28,1051.901
2019-03-29,1046.195
2019-04-30,1073.843
2019-05-31,1015.021
2019-06-28,1070.748
2019-07-31,1048.227
2019-08-30,1005.744
2019-09-30,1054.759
2019-10-31,1087.041
2019-11-29,1093.223
2019-12-31,1133.077
2020-01-31,1093.713
2020-02-28,992.701
2020-03-31,814.806
2020-04-30,856.6
2020-05-29,882.022
2020-06-30,915.471
2020-07-31,919.087
2020-08-31,970.167
2020-09-30,919.953
2020-10-30,884.495
2020-11-30,1053.78
2020-12-31,1097.473
2021-01-29,1088.67
2021-02-26,1146.609
2021-03-31,1193.753
2021-04-30,1222.915
2021-05-31,1274.489
2021-06-30,1247.883
2021-07-30,1240.974
2021-08-31,1251.459
2021-09-30,1235.689
2021-10-29,1266.67
2021-11-30,1189.615
2021-12-31,1264.429
2022-01-31,1295.62
2022-02-28,1279.885
2022-03-31,1298.991
2022-04-29,1236.036
2022-05-31,1276.454
2022-06-30,1148.227
2022-07-29,1169.767
2022-08-31,1128.538
2022-09-30,1033.139
2022-10-31,1102.617
2022-11-30,1217.782
2022-12-30,1223.411
2023-01-31,1319.521
2023-02-28,1295.996
2023-03-31,1294.002
2023-04-28,1338.341
2023-05-31,1268.833
2023-06-30,1347.325
2023-07-31,1403.163
2023-08-31,1358.854
2023-09-29,1351.344
2023-10-31,1292.875
2023-11-30,1395.534
2023-12-29,1467.158
2024-01-31,1463.39
2024-02-29,1469.386
2024-03-29,1538.193
2024-04-30,1522.337
2024-05-31,1584.97
2024-06-28,1544.574
2024-07-31,1618.531
2024-08-30,1665.809
2024-09-30,1694.646
2024-10-31,1622.779
2024-11-29,1620.116
2024-12-31,1587.151
2025-01-31,1668.107
2025-02-28,1727.933
2025-03-31,1765.697
2025-04-30,1835.914
2025-05-30,1910.765
2025-06-30,1941.52
2025-07-31,1952.087
2025-08-29,2067.13
